relpath,sha1,size,mtime,mime
old_logs/final_project_v1_np1_20250506_160835.log,813d6bd6e2fee8e76ffbf1e449615c458071f963,894,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.1_broadcast_all_np4_20250506_160835.log,d44bbf7a48e2459bf432fe5543643a80a02ee02b,99,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.2_scatter_halo_np4.log,4b2124c31049d1cf6cb35fb1809dc13248930a43,215,2025-05-09 10:48:43.460899,text/plain
old_logs/make_v2_2.1_broadcast_all_np1.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:48:18.083385,text/plain
old_logs/final_project_v2_2.1_broadcast_all_np1_20250506_142151.log,612bd6ba884ad56ec289bf8a01818d7dc15c909b,99,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v4_np1_20250506_160835.log,7dd7f91f16f17b140c98c4fd3f1c01f3e964a52b,196,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.2_scatter_halo_np2_20250506_160835.log,56ea97af8c95477dca5d66c306753e25997cc3ac,215,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v2_2.2_scatter_halo_np2_20250506_160835.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v2_2.2_scatter_halo_np2_20250506_142151.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:47:28.262221,text/plain
v3_cuda_only/Makefile,9f0c13eecc1d7b6cc450407bd9c2fc7abdcfe877,2189,2025-05-09 11:17:56.442870,text/x-makefile
v3_cuda_only/template,7f8a1ea6cbecd440d5d8723a678018a1c8559ba4,56480,2025-05-09 11:58:26.434957,application/x-pie-executable
v5_cuda_aware_mpi/Makefile,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,2025-04-24 10:59:13.145731,inode/x-empty
logs/summary_20250509_105320_DESKTOP-B5PMJB5.csv,116fb8bad22d1b77217879c07c5598d7cacaf417,4340,2025-05-09 10:53:47.743105,text/csv
logs/summary_20250508_185059_nixos.csv,145cbc86930126f6880d5f3600ec9589bd7442ea,3865,2025-05-09 10:47:28.262221,text/csv
logs/summary_multi_20250509_122238.csv,1013ddcef37ce17689ad201ed31f7ece7fff8536,478,2025-05-09 16:17:49.383529,text/csv
logs/summary_20250509_112555_DESKTOP-B5PMJB5.csv,147ef41db242db7c1f03e8870823888edd842581,4303,2025-05-09 11:26:24.210536,text/csv
logs/summary_20250509_115507_nixos.csv,4fdf7e79b5ddfe8e43ed2de4e6953ac56f59ba74,3865,2025-05-09 11:58:06.713176,text/csv
logs/summary_multi_20250509_123153.csv,403db55214fc284e1da10e918ead49f8e662df78,485,2025-05-09 16:17:49.383529,text/csv
logs/summary_20250509_115808_DESKTOP-B5PMJB5.csv,29704f16b53f0b3c3d20d3edeb3ef49f169db698,4305,2025-05-09 11:58:35.262021,text/csv
logs/summary_20250508_183926_nixos.csv,01ad35413d901f8153ce7b68400b51d70dfeecd9,3864,2025-05-09 11:58:06.713176,text/csv
logs/summary_20250509_114103_nixos.csv,5e8588dd3591cf5f2af9e718f3807fef12faf313,3901,2025-05-09 11:58:06.713176,text/csv
logs/summary_fullsuite_20250509_124616.csv,d1191661a97f84a51ce0261b0313f0193af15fab,3144,2025-05-09 16:17:49.383529,text/csv
logs/summary_20250509_115115_nixos.csv,ae4349eb721a140310f7e711b4eae8fa25aed581,3900,2025-05-09 11:58:06.713176,text/csv
logs/final_project_v4_np4.log,13d7c695eca623a77d693d537b111b977a6bb7ac,195,2025-05-05 11:46:39.451276,text/plain
logs/final_project_v4_np2.log,3055d222d6ccb54eab189840c16933477736d47e,195,2025-05-05 11:46:38.340276,text/plain
logs/summary_fullsuite_20250509_124206.csv,e833f94f92a8a9cfbefcf0f550d01b3dbbb72ee1,972,2025-05-09 16:17:49.383529,text/csv
logs/summary_20250508_184638_nixos.csv,8de4db6547cd28c01773abaa99edbb60a3b77785,3867,2025-05-09 11:58:06.713176,text/csv
logs/final_project_v4_np1.log,cd43d1913f65901e782820d4e4832b60e20762d1,196,2025-05-05 11:46:37.328276,text/plain
logs/summary_20250508_185132_nixos.csv,18a69b62e851c418eb7eaa786bc985c20caf93fc,3865,2025-05-09 10:47:28.262221,text/csv
logs/summary_20250509_105256_nixos.csv,79edca2b21d9ebe9742e2eff96c4aa6ece0ac42d,3863,2025-05-09 11:58:06.713176,text/csv
v1_serial/include/layers.hpp,513f08b701f0da4a42ab66d94d3bae9c9f9b880c,1337,2025-04-22 02:09:45.996870,text/x-c
v1_serial/include/alexnet.hpp,787dfce6bbb5cbf9b3a3f5e5baed91a4622e0d0a,1351,2025-04-22 02:09:46.878978,text/x-c
v1_serial/src/layers_serial.cpp,6dcdfe2eac400aaf10a4e6ec569d568e2416b608,7261,2025-04-22 17:04:50.195255,text/x-c
v1_serial/src/main.o,fcaaa6e40473e3478fa6f97db6ec6a1715714d29,7560,2025-05-09 11:58:09.533843,application/x-object
v1_serial/src/main.cpp,b3fb97aca0b1ab8c6154f22f5a57b593842dbec8,2579,2025-04-22 02:01:11.406908,text/x-c
v1_serial/src/layers_serial.o,ee5a8736f8daf173721db2558dd28d0ff08e92fd,9000,2025-05-09 11:58:10.396009,application/x-object
v1_serial/src/alexnet_serial.cpp,72f5ca85dd107722a8532f33c62326166be951ed,7962,2025-04-22 17:07:40.955222,text/x-c
v1_serial/src/alexnet_serial.o,f4085595dff2e1e6767ad87d5b8ab2259977b83a,21704,2025-05-09 11:58:10.023468,application/x-object
v4_mpi_cuda/logs_v4_test/v4_np1.log,36a49537aa52baf7de5c472d471eb71d279ef6a4,196,2025-05-05 11:44:19.744307,text/plain
v4_mpi_cuda/logs_v4_test/v4_np2.log,350d2659427fb51c546bb990afa780812c6626fc,195,2025-05-05 11:44:20.788648,text/plain
v4_mpi_cuda/logs_v4_test/build.log,9aef6dfe16bbee784e00f2be2f9d11b20d62bed1,2266,2025-05-05 11:44:18.248693,text/plain
v4_mpi_cuda/logs_v4_test/v4_np4.log,e1d7c8d014a50ad1e988c7163efd76fc42423112,195,2025-05-05 11:44:21.898947,text/plain
v4_mpi_cuda/include/layers.hpp,bbb48ec7c0395be858a48777442bca431678f57b,869,2025-05-05 11:07:12.728483,text/x-c
v4_mpi_cuda/include/alexnet.hpp,30e22265a4a9df11d49d52b57950f7907ffd5a19,1163,2025-04-29 16:45:03.389843,text/x-c
v4_mpi_cuda/src/main_mpi_cuda.o,3b78bd713c4bcf381e075222e44f3be1ef7f4c0e,160520,2025-05-09 11:58:28.197498,application/x-object
v4_mpi_cuda/src/layers_mpi_cuda.o,610e12f94d6c96b41f36aea19fa2749700574199,31992,2025-05-09 11:58:32.259273,application/x-object
v4_mpi_cuda/src/main_mpi_cuda.cpp,19fa6df8f8c24adda52ec11237a8a2d54b3a2f0c,7863,2025-05-05 11:44:03.959693,text/x-c
v4_mpi_cuda/src/layers_mpi_cuda.cu,dd33899972d7c9582007e66a49eb116c1fbead37,6254,2025-04-24 13:25:53.623873,text/x-c
v4_mpi_cuda/src/alexnet_mpi_cuda.o,c95ae41b7f3966adcbb91486fa291a15345c87d0,44264,2025-05-09 11:58:30.408685,application/x-object
v4_mpi_cuda/src/alexnet_mpi_cuda.cu,8ffcdc4e0114914e4a850c07311ae735361eada8,23014,2025-04-29 16:45:40.733993,text/x-c
v3_cuda_only/include/layers.hpp,793cfd24ac715631dfc016c03a16a28d0e6491e3,745,2025-04-22 16:14:48.826000,text/x-c
v3_cuda_only/include/alexnet.hpp,8fce36eaa173ce277f4566e3be9deb25a208a27a,673,2025-04-22 16:14:43.516003,text/x-c
v3_cuda_only/src/alexnet_cuda.cu,da03f517987903c7d59371ff3ffa1716daa1c881,4098,2025-04-22 17:06:55.635234,text/x-c
v3_cuda_only/src/layers_cuda.cu,d325e07e94738ccc0aa1f4d63a80d66e3433bce0,4254,2025-04-22 16:16:04.745984,text/x-c
v3_cuda_only/src/main_cuda.cpp,7fdd4ee27994ff73ac9ed1d6090225ecf185ea8a,1401,2025-04-22 16:14:52.655994,text/x-c
v3_cuda_only/src/layers_cuda.o,500e8dedc462c1b373e2a9872b62594b3ae509ec,39336,2025-05-09 11:58:25.932900,application/x-object
v3_cuda_only/src/alexnet_cuda.o,5054a49692757a78bca137a114d4acaa11ce337b,9576,2025-05-09 11:58:25.003561,application/x-object
v3_cuda_only/src/main_cuda.o,99b7ff9a640d080a27c5f5864b8e59cafed57bb2,7808,2025-05-09 11:58:26.231998,application/x-object
v2_mpi_only/2.1_broadcast_all/Makefile,27c32ef663701ca1d1c46be73d7dda4185196827,613,2025-04-22 13:41:38.293772,text/x-file
v2_mpi_only/2.1_broadcast_all/template,30e3611a5cf9700a6901b0d3c9b6dacbe6134255,109192,2025-05-09 11:58:17.618343,application/x-pie-executable
v2_mpi_only/2.2_scatter_halo/Makefile,2c7c5f4fc3e7ecace451a6b4d4ce9300a78ef58c,545,2025-04-22 13:52:08.894424,text/x-makefile
v2_mpi_only/2.2_scatter_halo/template,eb05b12581a39d88db5a6466c68edce65fe54fe2,113960,2025-05-09 11:58:23.166246,application/x-pie-executable
v2_mpi_only/2.1_broadcast_all/include/layers.hpp,2ea28956ad6a3772af08c470c06e54a20e3cd502,746,2025-04-22 13:41:45.244740,text/x-c
v2_mpi_only/2.1_broadcast_all/include/alexnet.hpp,39506d4b2f06f3b4169c710cbc34b4c3c05c5bf5,1350,2025-04-22 17:37:46.820584,text/x-c
v2_mpi_only/2.1_broadcast_all/src/layers_mpi.o,ad903539938ce88639d7a3a138b32eceeecb207e,4184,2025-05-09 11:58:17.417029,application/x-object
v2_mpi_only/2.1_broadcast_all/src/main.o,74234207fcef9e01c01203fb4b38aa4de7f2f512,150504,2025-05-09 11:58:17.088568,application/x-object
v2_mpi_only/2.1_broadcast_all/src/alexnet_mpi.cpp,700f2f6a775141ced39492ee6dba7d293d6e106a,1857,2025-04-22 13:41:55.676113,text/x-c
v2_mpi_only/2.1_broadcast_all/src/main.cpp,95699c9105a1d4f44ee040e891e7ddec12bc683d,4948,2025-04-23 17:11:45.516437,text/x-c
v2_mpi_only/2.1_broadcast_all/src/layers_mpi.cpp,38a8fe97ec01164ad526e4a4dcc1e971062677cd,3226,2025-04-22 13:41:59.794901,text/x-c
v2_mpi_only/2.1_broadcast_all/src/alexnet_mpi.o,faeb3a8e19c0a6b70f1fc04f2c33f76331181d08,7760,2025-05-09 11:58:17.226310,application/x-object
v2_mpi_only/2.2_scatter_halo/include/layers.hpp,2ea28956ad6a3772af08c470c06e54a20e3cd502,746,2025-04-22 13:52:20.986363,text/x-c
v2_mpi_only/2.2_scatter_halo/include/alexnet.hpp,752a8b2cffd1e000db93b40b51b4b70b025f7206,1372,2025-04-22 17:39:33.804367,text/x-c
v2_mpi_only/2.2_scatter_halo/src/layers_mpi.o,ad903539938ce88639d7a3a138b32eceeecb207e,4184,2025-05-09 11:58:22.973969,application/x-object
v2_mpi_only/2.2_scatter_halo/src/main.o,cdd24b7b77b5ed76524877eaf636cea626df7296,165304,2025-05-09 11:58:22.642824,application/x-object
v2_mpi_only/2.2_scatter_halo/src/alexnet_mpi.cpp,a0b43b0f77d695dc9b1599157b83d5abc7551624,1606,2025-04-22 13:52:43.528660,text/x-c
v2_mpi_only/2.2_scatter_halo/src/main.cpp,d5d5b167766da4368287f88f9e674ed93f775abe,16500,2025-04-23 17:11:45.516437,text/x-c
v2_mpi_only/2.2_scatter_halo/src/layers_mpi.cpp,fe96636f70b1943d95f76112b23b2cf2a3fcde13,2973,2025-04-22 13:52:49.243707,text/x-c
v2_mpi_only/2.2_scatter_halo/src/alexnet_mpi.o,faeb3a8e19c0a6b70f1fc04f2c33f76331181d08,7760,2025-05-09 11:58:22.781691,application/x-object
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np2.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:53:33.484098,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np2.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:53:25.549273,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np4.log,2ef30a39dac8c7445cd21b425151f19c367876cf,99,2025-05-09 10:53:29.575426,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np4.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:53:35.889098,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v4_np2.log,437014ec46c78b6630e821df6d52d5fd3170b2d0,758,2025-05-09 10:53:46.704315,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np4.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:53:28.138439,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np2.log,ddd1b28276884bc66ebceb82752f4ef6f4c075ff,99,2025-05-09 10:53:26.870939,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v4.log,1f569e2c90d7c0a1fb49ff721ce0b2f52264fdbb,5253,2025-05-09 10:53:43.387326,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np1.log,ec81c15e2c36d82c2ad4c30292aa31338728ef7f,99,2025-05-09 10:53:31.978265,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v3.log,b893a4214ee45d3fdd20d0fde6f7818206487e64,1115,2025-05-09 10:53:38.761745,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v1_np1.log,94ac240ee8cdabd26b30d193c484149b9dfcb65a,894,2025-05-09 10:53:22.042506,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v4_np1.log,2e3a60cdb3ea9ef843c13eb5ebdd2f8a92dbba2d,481,2025-05-09 10:53:44.665659,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np4.log,877ef0c98e79b6fe9b6bfb40b94d0773f5798d0a,214,2025-05-09 10:53:36.755765,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v1.log,6fc0d870f93c28cc5a8269198e47d12cbfa580a8,353,2025-05-09 10:53:21.201986,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np1.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:53:30.975425,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np2.log,9eb8c8f7f4174f1a2b175a57b389efa51d2a971f,215,2025-05-09 10:53:34.361598,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np1.log,63527a22a9755e4c1335139d31e981150a902a4b,99,2025-05-09 10:53:24.335939,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np1.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:53:23.122606,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v3_np1.log,3062bed96acd082f185e1312b49a23d340a35db8,92,2025-05-09 10:53:39.729558,text/plain
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v4_np4.log,205cfdbd133a267b5ba83318dc876ef254815be6,921,2025-05-09 10:53:47.710605,text/plain
logs/multirun_20250509_122238_nixos/main_orchestration.log,4208c891d617709172793e26d88c0d4cd0a3a8ab,4514,2025-05-09 16:17:49.383529,text/plain
logs/multirun_20250509_122238_nixos/mpi_cluster_hosts.txt,635a3f00bd10f1b3bd7427a034f1be5d708b5507,43,2025-05-09 16:17:49.383529,text/plain
logs/multirun_20250509_122238_nixos/make_v4_mpi_cuda_multi_arch.log,60313d908643c904dde77bafe9d3378f45cfe67a,3211,2025-05-09 16:17:49.383529,text/plain
logs/multirun_20250509_122238_nixos/run_v4_mpi_cuda_multi_np2.log,3103dbb78d248e4f7330567d8c18302d35e0e50c,295,2025-05-09 16:17:49.383529,text/plain
logs/fullsuite_20250509_124206_nixos/make_v2_2.1_broadcast_all_np2.log,c7a8acc523abc42c83fecdbfd580c5593296c6ba,1053,2025-05-09 16:17:49.383529,text/plain
logs/fullsuite_20250509_124206_nixos/main_orchestration.log,cb1298bf5ac611b946df6b4f2fea74074b7f1825,3291,2025-05-09 16:17:49.383529,text/plain
