path,size_bytes,mime,ext
logs/multirun_20250509_122238_nixos/run_v4_mpi_cuda_multi_np2.log,295,text/plain,.log
logs/fullsuite_20250509_124206_nixos/make_v2_2.1_broadcast_all_np2.log,1053,text/plain,.log
logs/fullsuite_20250509_124206_nixos/main_orchestration.log,3291,text/plain,.log
logs/fullsuite_20250509_124206_nixos/mpi_cluster_hosts.txt,43,text/plain,.txt
logs/fullsuite_20250509_124206_nixos/run_v1_np1.log,895,text/plain,.log
logs/fullsuite_20250509_124206_nixos/make_v1.log,798,text/plain,.log
logs/fullsuite_20250509_124206_nixos/run_v2_2.1_broadcast_all_np1.log,581,text/plain,.log
logs/fullsuite_20250509_124206_nixos/make_v2_2.1_broadcast_all_np1.log,1053,text/plain,.log
logs/run_20250509_115115_nixos/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
logs/run_20250509_115115_nixos/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
logs/run_20250509_115115_nixos/run_v2_2.1_broadcast_all_np4.log,99,text/plain,.log
logs/run_20250509_115115_nixos/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
logs/run_20250509_115115_nixos/run_v4_np2.log,934,application/octet-stream,.log
logs/run_20250509_115115_nixos/make_v2_2.1_broadcast_all_np4.log,534,text/plain,.log
logs/run_20250509_115115_nixos/run_v2_2.1_broadcast_all_np2.log,99,text/plain,.log
logs/run_20250509_115115_nixos/make_v4.log,2223,text/plain,.log
logs/run_20250509_115115_nixos/run_v2_2.2_scatter_halo_np1.log,99,text/plain,.log
logs/run_20250509_115115_nixos/make_v3.log,405,text/plain,.log
logs/run_20250509_115115_nixos/run_v1_np1.log,893,text/plain,.log
logs/run_20250509_115115_nixos/run_v4_np1.log,854,application/octet-stream,.log
logs/run_20250509_115115_nixos/run_v2_2.2_scatter_halo_np4.log,215,text/plain,.log
logs/run_20250509_115115_nixos/make_v1.log,353,text/plain,.log
logs/run_20250509_115115_nixos/make_v2_2.2_scatter_halo_np1.log,494,text/plain,.log
logs/run_20250509_115115_nixos/run_v2_2.2_scatter_halo_np2.log,215,text/plain,.log
logs/run_20250509_115115_nixos/run_v2_2.1_broadcast_all_np1.log,99,text/plain,.log
logs/run_20250509_115115_nixos/make_v2_2.1_broadcast_all_np1.log,534,text/plain,.log
logs/run_20250509_115115_nixos/run_v3_np1.log,162,text/plain,.log
logs/run_20250509_115115_nixos/run_v4_np4.log,1014,application/octet-stream,.log
logs/run_20250509_115507_nixos/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
logs/run_20250509_115507_nixos/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
logs/run_20250509_115507_nixos/run_v2_2.1_broadcast_all_np4.log,99,text/plain,.log
logs/run_20250509_115507_nixos/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
logs/run_20250509_115507_nixos/run_v4_np2.log,195,text/plain,.log
logs/run_20250509_115507_nixos/make_v2_2.1_broadcast_all_np4.log,534,text/plain,.log
logs/run_20250509_115507_nixos/run_v2_2.1_broadcast_all_np2.log,99,text/plain,.log
logs/run_20250509_115507_nixos/make_v4.log,2527,text/plain,.log
logs/run_20250509_115507_nixos/run_v2_2.2_scatter_halo_np1.log,99,text/plain,.log
logs/run_20250509_115507_nixos/make_v3.log,405,text/plain,.log
logs/run_20250509_115507_nixos/run_v1_np1.log,893,text/plain,.log
logs/run_20250509_115507_nixos/run_v4_np1.log,196,text/plain,.log
logs/run_20250509_115507_nixos/run_v2_2.2_scatter_halo_np4.log,215,text/plain,.log
logs/run_20250509_115507_nixos/make_v1.log,353,text/plain,.log
logs/run_20250509_115507_nixos/make_v2_2.2_scatter_halo_np1.log,494,text/plain,.log
logs/run_20250509_115507_nixos/run_v2_2.2_scatter_halo_np2.log,215,text/plain,.log
logs/run_20250509_115507_nixos/run_v2_2.1_broadcast_all_np1.log,99,text/plain,.log
logs/run_20250509_115507_nixos/make_v2_2.1_broadcast_all_np1.log,534,text/plain,.log
logs/run_20250509_115507_nixos/run_v3_np1.log,162,text/plain,.log
logs/run_20250509_115507_nixos/run_v4_np4.log,195,text/plain,.log
logs/run_20250508_185059_nixos/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
logs/run_20250508_185059_nixos/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
logs/run_20250508_185059_nixos/run_v2_2.1_broadcast_all_np4.log,99,text/plain,.log
logs/run_20250508_185059_nixos/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
logs/run_20250508_185059_nixos/run_v4_np2.log,195,text/plain,.log
logs/run_20250508_185059_nixos/make_v2_2.1_broadcast_all_np4.log,534,text/plain,.log
logs/run_20250508_185059_nixos/run_v2_2.1_broadcast_all_np2.log,99,text/plain,.log
logs/run_20250508_185059_nixos/make_v4.log,1978,text/plain,.log
logs/run_20250508_185059_nixos/run_v2_2.2_scatter_halo_np1.log,99,text/plain,.log
logs/run_20250508_185059_nixos/make_v3.log,367,text/plain,.log
logs/run_20250508_185059_nixos/run_v1_np1.log,894,text/plain,.log
logs/run_20250508_185059_nixos/run_v4_np1.log,196,text/plain,.log
logs/run_20250508_185059_nixos/run_v2_2.2_scatter_halo_np4.log,214,text/plain,.log
logs/run_20250508_185059_nixos/make_v1.log,353,text/plain,.log
logs/run_20250508_185059_nixos/make_v2_2.2_scatter_halo_np1.log,494,text/plain,.log
logs/run_20250508_185059_nixos/run_v2_2.2_scatter_halo_np2.log,215,text/plain,.log
logs/run_20250508_185059_nixos/run_v2_2.1_broadcast_all_np1.log,99,text/plain,.log
logs/run_20250508_185059_nixos/make_v2_2.1_broadcast_all_np1.log,534,text/plain,.log
logs/run_20250508_185059_nixos/run_v3_np1.log,162,text/plain,.log
logs/run_20250508_185059_nixos/run_v4_np4.log,195,text/plain,.log
logs/run_20250509_105256_nixos/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
logs/run_20250509_105256_nixos/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
logs/run_20250509_105256_nixos/run_v2_2.1_broadcast_all_np4.log,98,text/plain,.log
logs/run_20250509_105256_nixos/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
logs/run_20250509_105256_nixos/run_v4_np2.log,195,text/plain,.log
logs/run_20250509_105256_nixos/make_v2_2.1_broadcast_all_np4.log,534,text/plain,.log
logs/run_20250509_105256_nixos/run_v2_2.1_broadcast_all_np2.log,99,text/plain,.log
